department,semester,gender,hostel_or_dayscholar,study_time_preference,learning_style,sleep_quality,stress_level,internet_access_quality,part_time_job,mentor_support,placement_status,study_minutes_per_day,material_prep_minutes_per_week,extracurricular_minutes_per_week,skill_dev_minutes_per_week,attendance_percentage,previous_year_score,previous_semester_gpa,backlogs_count,internal_marks,projects_completed,hackathons_participated,internships_completed,certifications_count,coding_problems_solved,coding_platform_rating
CSE-DS,5,Male,Day Scholar,Night,Visual,Poor,Medium,Average,No,No,Not Started,143,126,164,568,76.5,62.8,6.21,0,35,7,2,1,2.0,281,1123
CSE,5,Male,Hostel,Night,Auditory,Poor,High,Good,Yes,No,Not Started,273,157,114,601,88.4,80.1,8.71,0,35,4,0,0,3.0,305,1186
ECE,4,Male,Hostel,Night,Auditory,Average,Medium,,No,Yes,Not Started,309,493,103,208,71.9,66.2,6.82,0,34,0,1,0,1.0,68,1016
CSE-DS,4,Female,Hostel,Night,Kinesthetic,Good,Low,Average,No,Yes,Not Started,175,337,208,0,90.5,79.9,7.88,0,43,1,0,0,3.0,0,990
CSE,2,Male,Hostel,Morning,Auditory,Average,Medium,Average,No,No,Not Started,355,144,272,432,58.9,58.1,5.33,2,31,2,1,0,,0,1062
CSE-DS,3,Male,Day Scholar,Night,Auditory,Average,Low,Good,No,Yes,Not Started,276,0,132,182,62.7,65.5,7.17,0,32,6,0,0,0.0,77,992
CSE-AIML,6,Male,Hostel,Morning,Kinesthetic,Average,Medium,Good,No,No,In Progress,257,376,0,374,85.7,72.2,7.06,0,34,5,1,0,2.0,308,889
CSE,7,Female,Hostel,Morning,Kinesthetic,Good,Medium,Average,No,No,In Progress,193,295,64,224,81.0,70.8,6.93,1,28,6,0,1,1.0,84,724
CSE-DS,8,Male,Hostel,Afternoon,Auditory,Poor,High,Good,Yes,No,In Progress,304,367,13,618,88.7,73.0,8.08,0,36,8,3,0,3.0,516,1305
CSE-AIML,8,Female,Hostel,Night,Kinesthetic,Good,Medium,Good,Yes,No,Placed,207,77,17,387,88.0,78.8,7.51,0,40,8,0,0,4.0,317,1134
CSE-AIML,6,Male,Hostel,Night,Visual,Good,Medium,Good,No,No,Not Started,177,127,63,87,90.7,73.3,7.5,0,38,5,5,0,6.0,141,1130
CSE,2,Male,Hostel,Night,Kinesthetic,Poor,High,Good,No,No,Not Started,212,217,191,401,98.8,71.1,7.88,0,33,0,0,0,0.0,156,1147
CSE-AIML,4,Male,Day Scholar,Night,Kinesthetic,Good,Low,,No,No,Not Started,179,433,0,268,72.9,60.3,6.37,2,33,4,3,0,1.0,142,1337
CSE-AIML,1,Male,Hostel,Morning,Kinesthetic,Poor,Medium,Average,No,Yes,Not Started,279,206,116,179,68.8,68.6,7.75,1,29,0,2,0,0.0,3,980
ECE,7,Male,Hostel,Morning,Visual,Average,Medium,Average,No,Yes,In Progress,292,128,198,259,67.7,64.1,5.98,2,30,7,6,2,3.0,165,1441
CSE,5,Other,Hostel,Night,Auditory,Average,Low,Average,No,Yes,Not Started,161,270,39,404,100.0,74.1,7.16,0,39,4,2,1,4.0,212,1204
CSE-DS,8,Female,Hostel,Night,Visual,Average,Medium,Poor,No,Yes,In Progress,437,408,407,171,82.7,76.8,8.08,0,36,5,1,2,4.0,206,1025
CSE-DS,4,Female,Hostel,Morning,Kinesthetic,Average,Medium,Good,No,Yes,Not Started,274,48,114,0,82.5,72.5,7.29,0,38,3,0,0,3.0,37,856
CSE,8,Male,Hostel,Night,Kinesthetic,Good,High,Good,No,Yes,Placed,180,21,164,490,75.1,69.4,7.01,0,35,3,1,3,6.0,332,1328
CSE,4,Female,Hostel,Morning,Auditory,Average,Medium,Good,No,Yes,Not Started,0,330,313,66,93.5,79.9,7.52,0,43,5,0,1,3.0,2,1081
CSE,6,Male,Day Scholar,Afternoon,Visual,Poor,High,Average,No,Yes,In Progress,151,210,182,257,85.8,73.3,7.07,2,38,5,0,2,4.0,91,844
IT,3,Female,Hostel,Night,Auditory,Average,Low,Good,No,No,Not Started,143,246,251,744,87.6,76.9,8.33,0,39,1,2,0,3.0,318,1050
ECE,6,Male,Hostel,Morning,Kinesthetic,Poor,Medium,Good,Yes,No,Not Started,175,384,152,532,80.1,79.0,6.86,0,46,6,2,1,4.0,332,1144
CSE,8,Male,Day Scholar,Night,Auditory,Average,High,,No,Yes,Placed,246,277,40,0,72.0,64.8,6.37,1,36,6,2,2,4.0,0,931
CSE,5,Female,Day Scholar,Morning,Visual,Good,High,Average,No,No,Not Started,326,252,215,677,62.3,66.7,6.98,0,31,3,0,0,5.0,315,1032
CSE-DS,5,Male,Hostel,Afternoon,Auditory,Poor,High,Good,No,Yes,Not Started,335,241,418,66,100.0,95.9,9.79,0,48,5,1,0,3.0,73,1062
CSE,2,Female,Day Scholar,Night,Visual,Good,Medium,Average,No,Yes,Not Started,17,348,308,260,77.0,58.1,6.78,0,25,1,1,0,0.0,83,811
CSE-AIML,7,Female,Hostel,Morning,Kinesthetic,Good,Medium,Good,No,Yes,In Progress,93,280,99,294,81.2,72.7,7.39,0,29,6,0,1,3.0,107,1044
CSE-DS,8,Male,Day Scholar,Night,Visual,Good,Medium,Good,No,Yes,Placed,42,216,58,0,87.8,73.7,7.1,1,37,5,1,0,5.0,10,765
ECE,3,Female,Day Scholar,Afternoon,Visual,Poor,Medium,Good,No,Yes,Not Started,142,103,0,503,87.8,60.0,6.23,0,33,2,0,0,1.0,196,1119
ECE,6,Male,Hostel,Afternoon,Visual,Good,Low,Average,No,Yes,Not Started,229,87,108,101,74.6,69.5,6.9,0,35,5,2,3,5.0,0,1127
CSE-DS,1,Female,Hostel,Afternoon,Visual,Average,High,Good,No,No,Not Started,159,310,0,207,82.5,69.9,7.8,0,36,0,0,0,0.0,10,1013
IT,1,Female,Hostel,Afternoon,Kinesthetic,Good,Low,Average,No,No,Not Started,200,402,53,260,97.2,78.2,7.79,0,35,2,0,0,0.0,64,747
CSE-AIML,5,Other,Day Scholar,Night,Auditory,Average,Medium,Poor,No,Yes,Not Started,84,58,202,410,81.4,79.7,7.05,1,43,7,2,3,,241,1033
IT,3,Male,Day Scholar,Night,Auditory,Average,Medium,Good,No,No,Not Started,100,201,231,258,72.7,61.8,5.96,2,31,2,0,0,2.0,36,690
CSE-DS,1,Female,Day Scholar,Night,Auditory,Poor,High,Poor,No,Yes,Not Started,267,224,59,205,75.4,74.4,7.61,0,42,2,0,0,0.0,46,806
CSE,8,Female,Day Scholar,Morning,Kinesthetic,Poor,High,Good,No,No,Placed,18,161,203,182,88.0,72.8,7.67,0,37,5,1,1,2.0,169,1396
CSE,6,Male,Day Scholar,Afternoon,Auditory,Poor,High,Average,Yes,No,Not Started,179,199,200,302,55.8,70.0,6.89,0,32,2,2,1,4.0,235,1188
CSE,2,Female,Hostel,Morning,Auditory,Average,Medium,Good,No,No,Not Started,256,195,252,396,77.0,63.0,7.69,0,32,7,0,0,0.0,79,1203
IT,1,Female,Day Scholar,Morning,Kinesthetic,Average,Low,Average,No,Yes,Not Started,296,521,57,724,71.1,77.5,7.75,0,34,2,0,0,2.0,69,1177
CSE,7,Male,Hostel,Night,Kinesthetic,Average,Medium,Good,No,No,Placed,153,169,75,357,76.3,75.8,7.24,0,36,4,4,3,2.0,269,1061
CSE,1,Other,Hostel,Night,Kinesthetic,Average,Medium,Good,No,No,Not Started,161,351,45,469,93.0,79.9,7.96,0,36,1,1,0,0.0,58,943
CSE-DS,4,Female,Hostel,Night,Visual,Good,Medium,Average,No,Yes,Not Started,340,220,235,88,78.4,78.1,8.18,0,38,6,2,0,3.0,64,984
ECE,3,Female,Hostel,Night,Visual,Poor,Medium,Average,No,Yes,Not Started,180,509,30,20,72.3,71.6,6.66,1,38,1,1,0,3.0,63,1019
CSE,6,Female,Day Scholar,Morning,Visual,Average,Low,Poor,No,No,In Progress,29,201,135,446,74.4,58.6,5.95,4,31,3,3,1,3.0,310,959
CSE,2,Female,Hostel,Afternoon,Visual,Poor,Medium,Good,No,Yes,Not Started,192,202,84,0,61.3,66.3,6.47,4,31,2,0,0,3.0,72,896
IT,2,Male,Day Scholar,Night,Kinesthetic,Good,High,Good,No,No,Not Started,337,92,37,581,73.7,74.1,8.47,0,31,2,0,0,1.0,30,853
CSE-DS,8,Male,Hostel,Night,Visual,Average,Low,Good,No,No,Placed,223,361,0,263,66.1,66.7,6.78,2,32,6,2,3,3.0,157,790
IT,8,Male,Hostel,Morning,Auditory,Average,Medium,Average,Yes,No,In Progress,124,225,153,591,96.5,73.7,7.16,0,36,11,5,1,3.0,524,1128
CSE,6,Male,Hostel,Night,Auditory,Poor,High,Poor,No,No,Not Started,186,457,79,530,76.4,65.5,5.47,3,32,5,1,0,3.0,256,1150
CSE,3,Female,Hostel,Afternoon,Kinesthetic,Average,Low,Good,No,Yes,Not Started,138,177,0,578,92.5,66.4,7.72,0,36,2,0,0,2.0,180,1288
CSE,4,Male,Day Scholar,Afternoon,Kinesthetic,Good,Low,Good,No,Yes,Not Started,62,177,66,123,83.5,63.4,5.96,1,32,1,1,1,2.0,0,822
CSE-DS,5,Female,Day Scholar,Night,Auditory,Average,Medium,Good,No,Yes,Not Started,153,273,102,362,69.0,63.8,5.77,1,29,4,1,0,3.0,214,1161
CSE,4,Female,Hostel,Night,Kinesthetic,Good,Medium,Good,No,No,Not Started,192,156,72,431,71.5,61.5,6.11,3,27,1,1,0,4.0,171,930
ECE,6,Female,Day Scholar,Night,Auditory,Average,Low,Average,No,Yes,Not Started,246,311,0,406,64.8,54.5,5.47,1,27,6,1,3,1.0,130,1040
IT,4,Male,Hostel,Afternoon,Kinesthetic,Average,High,Average,No,No,Not Started,49,340,226,102,84.5,66.0,7.0,0,33,4,4,0,2.0,65,972
CSE-DS,6,Male,Hostel,Night,Kinesthetic,Average,Medium,Good,No,No,Not Started,207,327,39,240,93.8,78.9,8.47,0,39,4,1,0,4.0,188,1222
CSE,2,Male,Day Scholar,Night,Auditory,Average,Medium,Good,Yes,Yes,Not Started,262,70,3,503,77.7,71.1,6.55,0,31,2,0,0,1.0,113,1143
CSE,7,Female,Hostel,Afternoon,Auditory,Average,High,Good,Yes,Yes,Placed,295,246,200,289,86.0,79.8,8.93,0,41,8,2,4,4.0,260,1076
CSE-AIML,5,Female,Hostel,Night,Auditory,Average,Medium,Good,Yes,Yes,Not Started,135,356,149,72,62.8,59.5,6.14,2,32,5,2,0,3.0,0,832
ECE,1,Female,Hostel,Night,Visual,Poor,Low,Good,No,Yes,Not Started,101,263,289,358,88.2,64.2,5.41,0,28,1,0,0,0.0,111,907
CSE-AIML,8,Female,Day Scholar,Morning,Kinesthetic,Average,High,Good,No,No,In Progress,258,245,0,391,79.1,66.1,6.26,1,25,4,3,2,3.0,314,1118
CSE,2,Female,Day Scholar,Night,Visual,Good,Medium,Average,No,Yes,Not Started,148,295,196,477,100.0,77.5,7.89,0,40,3,0,0,1.0,18,1095
CSE-DS,5,Male,Hostel,Night,Auditory,Average,Medium,Average,No,No,Not Started,256,400,160,367,77.0,68.9,6.62,0,37,5,1,0,4.0,107,1022
CSE,6,Male,Hostel,Morning,Kinesthetic,Average,Medium,Average,No,No,Not Started,321,58,135,431,72.2,72.6,7.68,2,36,8,3,0,4.0,273,1025
CSE,3,Female,Day Scholar,Night,Kinesthetic,Average,Medium,Good,No,Yes,Not Started,176,319,78,811,70.0,67.5,6.1,3,26,1,1,1,2.0,260,1165
CSE,2,Male,Hostel,Afternoon,Kinesthetic,Average,High,Good,Yes,Yes,Not Started,188,237,127,374,98.5,81.2,8.26,0,38,3,0,0,1.0,140,1332
CSE-DS,7,Male,Day Scholar,Afternoon,Auditory,Poor,Medium,Average,No,Yes,Placed,169,262,232,202,82.7,69.0,7.11,1,35,7,1,3,3.0,175,1065
CSE-DS,6,Male,Hostel,Morning,Auditory,Average,Medium,Average,Yes,No,Not Started,177,168,73,369,78.3,69.7,7.86,2,33,4,1,0,4.0,195,1122
CSE-DS,7,Male,Hostel,Afternoon,Visual,Average,Medium,Average,No,Yes,In Progress,174,557,0,682,64.8,53.6,5.59,2,20,2,1,1,0.0,532,1475
CSE,4,Female,Day Scholar,Afternoon,Visual,Average,Medium,Good,No,No,Not Started,243,102,198,247,91.4,78.0,7.04,0,34,6,3,0,1.0,175,1144
IT,7,Male,Hostel,Morning,Auditory,Average,High,Good,No,No,In Progress,235,180,0,390,86.0,76.8,8.04,0,40,8,4,2,3.0,262,1186
CSE,8,Female,Hostel,Night,Visual,Poor,High,Good,No,Yes,Placed,143,148,19,61,97.6,71.1,6.44,1,33,3,3,2,1.0,46,1078
CSE-AIML,7,Female,Hostel,Night,Visual,Good,Low,Good,No,No,Placed,89,57,94,322,88.1,79.0,9.24,0,32,2,2,4,4.0,149,877
CSE,1,Male,Day Scholar,Night,Kinesthetic,Poor,High,Good,No,Yes,Not Started,137,224,126,424,81.3,81.3,8.32,0,39,3,0,0,1.0,137,1280
CSE-AIML,6,Male,Hostel,Night,Visual,Average,Medium,Average,No,No,Not Started,203,356,325,436,78.7,69.8,6.03,0,37,2,0,1,2.0,252,935
CSE,4,Male,Hostel,Night,Auditory,Average,Low,Average,No,No,Not Started,271,246,0,108,85.2,67.8,6.69,2,36,3,0,1,1.0,70,1066
CSE,8,Male,Hostel,Night,Visual,Good,Low,Good,No,Yes,Placed,237,197,150,200,77.6,66.6,6.95,0,35,6,1,1,7.0,188,991
CSE,5,Female,Day Scholar,Morning,Visual,Good,Medium,Average,No,Yes,Not Started,227,70,0,171,64.9,64.6,6.98,0,31,4,0,1,2.0,66,932
CSE,6,Male,Hostel,Morning,Auditory,Average,High,Good,No,No,Not Started,79,74,311,514,81.1,60.5,5.97,3,33,8,0,2,4.0,362,1095
CSE-DS,8,Female,Day Scholar,Morning,Kinesthetic,Good,Low,Good,No,Yes,In Progress,387,410,0,369,86.1,80.7,8.03,0,40,2,2,1,3.0,385,887
CSE,8,Female,Hostel,Morning,Visual,Poor,Medium,Good,No,No,Placed,182,209,230,196,84.2,62.9,6.85,0,34,7,3,3,3.0,123,918
IT,6,Male,Hostel,Night,Kinesthetic,Average,Medium,Good,No,No,Not Started,0,272,108,0,78.7,63.4,5.98,2,34,7,2,2,4.0,0,721
CSE-AIML,1,Male,Day Scholar,Morning,Auditory,Good,Medium,Good,No,No,Not Started,194,0,177,54,71.9,70.5,6.93,0,31,2,0,0,1.0,0,1238
ECE,3,Male,Day Scholar,Night,Kinesthetic,Average,Medium,Good,No,No,Not Started,128,224,200,371,72.7,74.5,6.97,0,36,4,0,0,1.0,131,1010
CSE,5,Male,Hostel,Night,Visual,Good,Low,Good,No,No,Not Started,123,274,201,354,100.0,67.1,7.19,0,30,6,2,1,2.0,126,1050
CSE,1,Female,Day Scholar,Morning,Visual,Good,Low,Good,No,No,Not Started,342,0,294,694,79.5,72.5,7.82,0,33,0,0,0,0.0,45,1009
IT,5,Other,Hostel,Night,Auditory,Good,Low,Average,No,No,Not Started,146,288,151,209,83.0,71.4,7.26,0,30,3,2,3,2.0,83,1088
CSE-DS,3,Male,Day Scholar,Afternoon,Kinesthetic,Good,Medium,Good,No,No,Not Started,277,343,0,458,67.1,74.4,7.69,0,41,3,2,0,1.0,4,1102
CSE,7,Male,Day Scholar,Night,Kinesthetic,Average,Medium,Good,No,Yes,In Progress,323,297,0,333,100.0,75.9,7.85,0,39,5,4,1,2.0,284,866
IT,5,Female,Day Scholar,Night,Auditory,Average,Medium,Average,No,No,Not Started,153,276,0,579,94.5,75.3,6.88,1,31,8,3,0,2.0,204,1106
CSE,1,Female,Hostel,Night,Visual,Poor,Medium,Average,No,No,Not Started,107,377,218,167,72.4,68.3,6.67,0,32,3,0,0,1.0,94,932
IT,4,Female,Day Scholar,Night,Visual,Good,Low,Good,No,Yes,Not Started,275,361,88,718,89.3,73.2,7.44,0,36,3,0,0,1.0,340,1007
CSE-DS,3,Male,Hostel,Afternoon,Kinesthetic,Poor,Medium,Good,Yes,No,Not Started,236,69,275,228,100.0,70.3,6.1,3,34,3,0,1,0.0,80,866
CSE,8,Male,Day Scholar,Night,Visual,Average,Medium,Good,No,No,Placed,60,29,0,356,94.7,68.3,7.14,0,34,9,3,1,4.0,193,1145
CSE-DS,1,Female,Day Scholar,Night,Visual,Average,Low,Good,No,Yes,Not Started,218,243,90,253,100.0,82.3,7.66,0,45,1,0,0,1.0,60,945
IT,7,Male,Day Scholar,Night,Visual,Average,Medium,Good,No,Yes,In Progress,264,201,158,0,79.1,72.1,7.32,0,35,4,1,0,1.0,0,1221
CSE,7,Male,Hostel,Morning,Auditory,Average,Low,Good,No,No,In Progress,182,85,186,83,93.4,75.3,8.01,0,37,2,4,0,5.0,0,892
CSE-DS,8,Male,Hostel,Night,Kinesthetic,Average,Medium,Good,No,No,Placed,78,289,0,171,81.1,73.7,7.02,0,34,6,2,1,6.0,105,1061
CSE,7,Male,Day Scholar,Morning,Auditory,Poor,Low,Good,No,Yes,In Progress,268,277,277,69,82.5,73.1,7.27,1,38,8,3,0,4.0,100,836
CSE,3,Female,Hostel,Morning,Auditory,Good,Low,Good,No,Yes,Not Started,58,137,76,334,80.7,64.5,5.81,2,30,0,2,0,2.0,178,1166
CSE-AIML,8,Male,Hostel,Afternoon,Auditory,Poor,High,Good,No,Yes,Placed,89,136,114,88,76.1,69.1,6.9,0,39,7,5,2,5.0,50,1051
ECE,3,Female,Hostel,Night,Auditory,Poor,High,Good,Yes,No,Not Started,163,183,0,367,96.7,75.7,7.49,1,38,2,1,1,2.0,90,1225
ECE,8,Male,Day Scholar,Afternoon,Visual,Average,Low,Average,No,Yes,Placed,160,267,141,352,74.9,70.3,6.67,0,35,4,0,0,5.0,231,1249
CSE-DS,2,Female,Hostel,Night,Auditory,Poor,High,Good,No,Yes,Not Started,363,248,275,321,83.6,79.5,8.46,0,39,2,0,0,1.0,74,1227
CSE,3,Female,Hostel,Morning,Kinesthetic,Average,Medium,Good,No,Yes,Not Started,242,150,128,0,75.7,78.3,7.93,0,40,2,1,1,2.0,0,700
CSE-DS,4,Other,Hostel,Morning,Auditory,Average,Medium,Good,Yes,No,Not Started,140,207,161,292,81.9,67.7,6.33,4,35,3,3,1,1.0,92,1189
ECE,2,Female,Day Scholar,Afternoon,Kinesthetic,Average,Low,Average,Yes,No,Not Started,161,191,65,222,97.1,72.8,7.6,0,34,0,1,0,0.0,21,1151
CSE,7,Male,Hostel,Afternoon,Auditory,Average,Low,Good,No,No,In Progress,256,168,155,495,89.3,73.3,6.81,0,35,7,0,3,5.0,318,1356
CSE-DS,4,Female,Hostel,Morning,Auditory,Poor,High,Good,No,No,Not Started,162,231,63,271,55.4,69.2,7.17,0,36,5,0,2,2.0,59,932
CSE-DS,7,Male,Hostel,Night,Visual,Average,Medium,Average,No,No,Placed,6,230,132,563,94.4,65.5,6.26,2,35,9,2,3,5.0,318,1222
CSE-AIML,2,Female,Day Scholar,Night,Visual,Average,Medium,Good,No,Yes,Not Started,358,217,164,273,72.4,80.7,8.5,0,39,1,0,0,0.0,0,874
IT,7,Male,Hostel,Night,Kinesthetic,Average,Medium,Good,No,No,Placed,153,7,177,393,77.1,67.4,6.52,0,35,5,0,1,3.0,261,966
CSE,3,Female,Day Scholar,Night,Visual,Poor,Medium,Good,No,Yes,Not Started,156,271,261,710,65.9,60.4,6.24,2,26,3,3,1,0.0,105,1014
IT,8,Male,Hostel,Night,Kinesthetic,Poor,High,Good,No,Yes,In Progress,193,359,0,473,92.7,68.4,5.98,1,32,3,1,2,8.0,333,1159
CSE-AIML,1,Male,Hostel,Night,Kinesthetic,Average,High,Good,Yes,Yes,Not Started,208,300,21,46,60.7,55.8,4.37,2,28,0,0,0,0.0,27,810
IT,4,Male,Hostel,Afternoon,Auditory,Poor,High,Average,No,No,Not Started,254,444,91,78,90.1,72.4,6.79,0,34,0,1,1,1.0,78,949
CSE-DS,6,Male,Day Scholar,Night,Kinesthetic,Good,Low,Average,No,No,Not Started,400,266,63,359,56.2,73.2,7.52,0,35,6,2,1,2.0,181,720
ECE,7,Male,Hostel,Night,Kinesthetic,Good,Low,Poor,No,No,Placed,197,0,283,0,94.7,71.9,6.98,0,38,12,2,0,2.0,49,1143
CSE-DS,2,Female,Day Scholar,Night,Visual,Average,Medium,Good,No,No,Not Started,186,330,71,196,88.8,67.3,7.47,1,33,1,1,0,1.0,40,935
CSE,5,Female,Hostel,Afternoon,Visual,Average,Medium,Average,No,No,Not Started,158,466,66,250,67.9,57.5,5.86,5,24,3,2,0,3.0,157,937
CSE-AIML,6,Male,Hostel,Night,Auditory,Good,Low,Good,Yes,No,Not Started,256,168,86,95,75.4,66.0,6.71,0,32,5,2,3,1.0,48,1023
CSE-AIML,8,Male,Day Scholar,Night,Visual,Average,Medium,Poor,No,No,Placed,87,245,148,585,85.1,67.3,6.89,2,31,2,1,3,5.0,515,1136
CSE-DS,6,Female,Hostel,Afternoon,Visual,Average,Medium,Poor,No,Yes,Not Started,238,188,28,356,78.8,69.6,7.72,0,29,3,1,1,0.0,265,1328
CSE,4,Male,Hostel,Afternoon,Kinesthetic,Average,Medium,Good,No,No,Not Started,191,362,0,46,77.4,70.2,7.39,0,36,3,2,4,3.0,0,983
CSE,7,Male,Day Scholar,Night,Auditory,Good,Medium,Poor,No,No,In Progress,203,0,80,0,81.8,82.3,8.46,0,34,8,2,1,4.0,0,712
IT,4,Male,Hostel,Afternoon,Kinesthetic,Poor,High,Good,No,Yes,Not Started,241,186,14,550,66.5,73.0,7.83,0,36,4,0,0,2.0,231,954
IT,6,Female,Hostel,Night,Visual,Good,High,Good,No,No,Not Started,218,143,108,488,85.0,82.3,7.59,0,42,4,3,0,2.0,325,1112
CSE-AIML,4,Male,Hostel,Morning,Visual,Good,Low,Good,No,No,Not Started,237,161,241,421,96.4,72.6,7.96,0,37,2,1,0,2.0,179,1128
CSE-AIML,2,Male,Hostel,Night,Kinesthetic,Average,Medium,Good,No,No,Not Started,217,103,89,712,71.7,67.0,6.95,0,35,0,0,0,2.0,167,1033
CSE-DS,2,Male,Hostel,Afternoon,Auditory,Average,Medium,Poor,No,No,Not Started,100,363,191,240,94.0,76.7,8.97,0,44,3,0,0,1.0,93,1071
IT,3,Female,Hostel,Night,Kinesthetic,Average,Medium,Good,No,No,Not Started,193,234,210,407,92.0,72.4,6.8,0,37,2,2,1,1.0,78,1015
CSE,8,Female,Hostel,Afternoon,Kinesthetic,Poor,Medium,Good,No,Yes,Placed,193,222,217,203,77.9,82.5,8.68,0,41,7,7,2,5.0,180,974
CSE,7,Female,Day Scholar,Night,Auditory,Average,Medium,Good,No,Yes,In Progress,228,247,140,94,62.1,70.8,6.97,0,33,9,1,3,2.0,91,1203
CSE-AIML,1,Female,Day Scholar,Night,Kinesthetic,Poor,Medium,Good,No,Yes,Not Started,155,421,108,521,85.0,75.2,8.1,0,33,1,1,0,0.0,113,1204
CSE,3,Male,Hostel,Night,Visual,Good,Low,Average,No,No,Not Started,206,201,63,339,94.0,71.4,7.03,0,41,4,1,0,,74,885
ECE,4,Female,Hostel,Night,Visual,Average,Medium,Average,No,No,Not Started,81,465,0,432,88.2,67.9,6.42,1,34,2,0,1,2.0,179,954
CSE,3,Female,Hostel,Morning,Visual,Good,Medium,,No,Yes,Not Started,31,105,189,115,80.8,55.9,5.47,0,27,3,2,1,2.0,71,1250
IT,2,Male,Day Scholar,Morning,Kinesthetic,Average,Medium,Good,No,No,Not Started,264,206,0,342,69.1,74.2,7.83,0,41,2,0,0,0.0,13,1068
CSE,7,Female,Hostel,Night,Visual,Average,Medium,Average,No,No,In Progress,171,380,163,418,78.2,73.0,6.84,0,38,6,3,2,8.0,393,1136
CSE,4,Male,Hostel,,Auditory,Good,Medium,Good,No,Yes,Not Started,153,296,184,213,62.6,64.5,6.33,1,34,3,2,1,1.0,111,1092
ECE,2,Female,Hostel,Night,Kinesthetic,Poor,Medium,Average,No,Yes,Not Started,116,188,154,5,69.2,80.3,7.82,0,38,3,0,0,1.0,25,888
CSE,3,Male,Day Scholar,Night,Visual,Good,Low,Good,No,No,Not Started,230,80,29,479,88.2,80.7,8.29,0,41,2,2,0,0.0,128,1066
CSE-AIML,8,Female,Hostel,Morning,Visual,Poor,High,Average,No,Yes,Placed,357,112,163,732,72.0,77.2,7.68,0,39,7,2,1,3.0,565,1432
CSE-DS,6,Female,Hostel,Night,Auditory,Average,Medium,Average,No,No,Not Started,79,120,106,0,100.0,73.7,6.54,0,33,4,1,0,2.0,0,1246
CSE-DS,2,Female,Hostel,Afternoon,Auditory,Poor,Medium,Good,No,No,Not Started,189,96,74,0,86.3,79.4,9.05,0,37,0,0,0,1.0,0,900
CSE-AIML,3,Male,Day Scholar,Afternoon,Auditory,Average,Medium,Poor,No,No,Not Started,222,150,118,453,66.2,60.9,7.24,1,30,3,0,1,1.0,91,874
CSE-DS,1,Male,Hostel,Night,Auditory,Good,Low,Average,No,Yes,Not Started,109,264,294,138,74.9,64.5,6.42,4,33,1,0,0,0.0,0,698
CSE-AIML,5,Male,Hostel,Afternoon,Visual,Good,Medium,Poor,No,No,Not Started,31,160,308,256,76.2,55.3,6.29,0,31,4,4,1,2.0,143,1225
CSE,1,Other,Day Scholar,Night,Kinesthetic,Average,Medium,Good,No,Yes,Not Started,184,236,232,29,71.2,76.0,7.25,0,41,1,0,0,2.0,0,985
CSE,6,Male,Day Scholar,Night,Kinesthetic,Poor,High,Good,No,Yes,In Progress,182,67,203,583,78.6,70.0,6.48,3,34,3,3,1,3.0,383,1080
CSE-AIML,4,Male,Day Scholar,Morning,Auditory,Good,Low,Good,No,No,Not Started,165,344,20,0,98.4,71.4,7.24,0,33,8,1,0,2.0,0,1035
ECE,7,Male,Hostel,Morning,Kinesthetic,Average,Medium,Good,No,No,Placed,179,202,38,148,76.7,67.9,6.3,2,28,4,3,2,4.0,88,1055
CSE-AIML,2,Female,Day Scholar,Night,Visual,Average,Low,Average,No,No,Not Started,174,192,181,249,100.0,79.3,7.84,0,41,3,0,0,1.0,19,894
CSE-DS,2,Male,Hostel,Night,Visual,Average,Medium,Good,No,Yes,Not Started,137,399,295,450,90.1,68.6,7.28,0,34,1,0,0,0.0,80,1104
IT,1,Female,Day Scholar,Night,Auditory,Average,Low,Good,No,No,Not Started,145,189,80,487,66.6,61.9,6.51,0,27,0,0,0,0.0,94,920
IT,7,Male,Day Scholar,Afternoon,Visual,Average,Medium,Average,No,No,Placed,227,286,227,296,59.2,64.5,6.16,4,23,7,2,0,4.0,159,973
CSE,5,Female,Day Scholar,Morning,Kinesthetic,Good,Medium,Good,No,No,Not Started,319,368,249,368,74.6,72.7,6.46,3,40,7,3,0,1.0,132,1072
CSE-AIML,2,Male,Day Scholar,Night,Visual,Poor,High,Good,No,Yes,Not Started,161,276,173,7,67.9,61.8,6.51,0,28,1,0,0,0.0,0,982
IT,3,Female,Hostel,Morning,Kinesthetic,Average,Medium,Poor,No,Yes,Not Started,123,178,213,32,96.9,71.7,7.15,0,37,3,1,1,1.0,43,916
ECE,2,Female,Day Scholar,Night,Visual,Poor,High,Average,No,No,Not Started,326,368,25,233,72.5,78.9,8.17,0,38,1,0,0,1.0,0,962
ECE,1,Female,Day Scholar,Afternoon,Kinesthetic,Average,Medium,Good,No,No,Not Started,233,142,0,438,72.8,77.3,7.82,0,42,1,0,0,2.0,46,978
CSE-AIML,2,Male,Hostel,Night,Kinesthetic,Average,Medium,Good,Yes,No,Not Started,4,458,100,485,68.2,69.9,6.54,1,38,0,1,0,0.0,172,1028
IT,2,Male,Hostel,Night,Kinesthetic,Good,Low,Good,No,No,Not Started,209,231,262,82,78.9,63.7,6.81,0,31,1,2,0,1.0,22,1042
CSE,7,Male,Hostel,Night,Kinesthetic,Poor,High,Good,No,No,In Progress,255,217,156,21,81.3,67.5,6.46,2,31,3,1,0,4.0,0,958
